"filename", "language", "JavaScript", "SCSS", "CSS", "JSON", "HTML", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_sidebar.scss", "SCSS", 0, 244, 0, 0, 0, 0, 0, 0, 10, 32, 286
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_socialLogin.scss", "SCSS", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_sweetalert.scss", "SCSS", 0, 27, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_sweetalert2_custom.scss", "SCSS", 0, 25, 0, 0, 0, 0, 0, 0, 3, 8, 36
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\components\_themeToggle.scss", "SCSS", 0, 67, 0, 0, 0, 0, 0, 0, 2, 13, 82
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\layouts\_authLayout.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 0, 1, 11, 56
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\layouts\_mainLayout.scss", "SCSS", 0, 29, 0, 0, 0, 0, 0, 0, 1, 6, 36
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\main.scss", "SCSS", 0, 138, 0, 0, 0, 0, 0, 0, 4, 24, 166
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_AcceptInvitation.scss", "SCSS", 0, 82, 0, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\styles\scss\pages\_AdminDashboard.scss", "SCSS", 0, 28, 0, 0, 0, 0, 0, 0, 1, 5, 34
